x0,x0_err,A,A_err,fwhm,fwhm_err,eta,eta_err,offset,offset_err
33.013325974682,0.00188361223557195,81139645.584246,1.3261512330881e-09,0.216939897001434,0.00413378526192245,0.193818190468008,0.0736744180828405,6477163.81733458,6.86843918453481e-09
33.0180515897571,0.00207200381876628,71753713.8537908,1.60708007390724e-09,0.222983180467738,0.00450016928200644,0.137789907770434,0.0792150585265225,6769179.60895185,8.338747688048e-09
33.0228402596414,0.00230827455583164,67643935.2918086,2.0469067801121e-09,0.209522764575905,0.00517478960192712,0.302254318647398,0.0930543297113096,6320525.06043181,1.02566136396618e-08
33.0394262619884,0.00221873006966676,55016642.5444393,2.14967295289204e-09,0.237775372980431,0.00470465068847538,2.94972316506265e-12,0.0807945217158436,7327901.62416749,1.099662901469e-08
33.0423615607073,0.00134591116610941,50197701.7100668,1.42932508219831e-09,0.238143262439966,0.00285417831129642,5.37660985019099e-12,0.0489618093104142,7346117.45537687,7.29213560933552e-09
33.0353330420359,0.00192463318201247,62209256.3702842,1.66461386976002e-09,0.23381563255414,0.00407926625709439,5.12109916047379e-12,0.0710974936571785,7376907.06128359,8.65575836681454e-09
33.0431629525104,0.00175888107788324,65292961.562061,1.46308808996786e-09,0.231372561314045,0.00372772432089484,3.51442615493169e-11,0.0656376921356896,7281620.9738127,7.65100366839289e-09
33.0367983697921,0.00150985020066086,68757423.5520949,1.25378672019361e-09,0.218587709937837,0.00331590301269947,0.195785422693776,0.0587432972770608,6613042.60411645,6.40336586011697e-09
33.0409697754006,0.00165298808128713,64332971.1069278,1.44112973917835e-09,0.224376806961242,0.00363161699943431,0.19562032058468,0.0628307950744885,6682933.64464501,7.19891080549519e-09
33.0559323976593,0.000876001603817199,48447666.2636879,1.00899657043963e-09,0.227097315262903,0.00192165595203212,0.185640806689608,0.0330024655128529,6949456.78149143,4.98129581304411e-09
33.0459729306171,0.00205935226764127,42114519.2872108,2.75472553129409e-09,0.2207526205992,0.00445477345123357,0.115465150309006,0.0797110689716525,6282380.13210665,1.43918999470795e-08
33.038106303917,0.00392523443720727,25068565.5462397,8.52489508724803e-09,0.232686422392366,0.00857718182432987,0.164855702217699,0.144528890471503,4492797.64390452,4.19341053107029e-08
33.0056090429336,0.00321404377551066,22328657.1663888,2.01738217607658e-08,0.120932608209437,0.00837208451575989,0.999999999998265,0.228585453766152,3024440.06483437,6.92792459665673e-08
